,count,mean,std,min,25%,50%,75%,max
Posx29,1254.0,45.36211674479266,25.708387003524855,11.84664918,33.15983919,40.85248002,49.71581739,354.81052900000003
Posx30,1254.0,75.27338198719299,34.26780999860368,25.632801399999998,55.8760753925,74.17834533,87.779514855,767.7097566000001
Posx31,1254.0,60.6063852819378,28.374943133178498,23.27585318,44.0846365975,59.283444599999996,73.1174448575,708.1926999
Posx32,1254.0,67.04476252589315,41.35970937120919,10.50659157,46.3589402975,60.481163975,74.3656282175,774.1992105
Posx33,1254.0,26.059738465194577,23.254042055499568,2.94505544,15.876682265000001,20.75761284,26.243248542499998,217.0123036
Posx34,1254.0,117.67128604459332,70.92020635499775,10.230029,73.43108729,97.225233935,132.9705946,753.8201864
Posx35,1254.0,10.023361081060605,7.985539419127223,1.302564726,7.0058410989999995,8.600197267,10.67891041,142.3385428
Posx36,1254.0,320.87448872642744,335.48450966393955,27.44696815,182.7306678,242.43942474999997,336.673569925,6584.1630350000005
PosxTotal,1254.0,2136.12831721563,679.93072313222,958.5494704,1639.2676720000002,2107.139639,2470.96081725,9849.066716
Mapsx2,1254.0,80.01754385964912,20.493582473881844,47.0,66.0,78.0,89.0,210.0
Mapsx3,1254.0,62.0725677830941,28.683572362748283,31.0,43.0,53.0,70.75,197.0
Mapsx4,1254.0,67.35326953748006,21.59528527353617,33.0,51.0,64.0,79.0,178.0
Mapsx5,1254.0,85.82057416267942,29.049488956066362,40.0,66.0,82.0,99.0,259.0
Mapsx6,1254.0,37.85326953748007,9.012937477602772,24.0,32.0,36.0,41.0,136.0
Mapsx7,1254.0,74.65231259968103,33.053614434876344,34.0,50.0,68.0,88.0,279.0
Mapsx8,1254.0,67.27511961722487,20.229057110548915,30.0,52.0,67.0,80.0,152.0
Mapsx9,1254.0,53.228070175438596,17.250484845305195,29.0,43.0,51.0,59.0,184.0
Mapsx10,1254.0,61.6140350877193,22.098545758642413,33.0,48.0,57.0,67.0,194.0
Mapsx11,1254.0,91.88915470494418,43.427215644828074,44.0,64.0,77.0,102.0,293.0
Mapsx12,1254.0,18.696969696969695,2.242100344406614,14.0,17.0,19.0,20.0,29.0
Mapsx13,1254.0,33.505582137161085,2.7502391864406226,27.0,32.0,33.0,35.0,62.0
Mapsx14,1254.0,42.811004784689,3.2660932061993027,31.0,41.0,42.0,44.0,68.0
Mapsx15,1254.0,23.550239234449762,3.399490000742373,19.0,22.0,23.0,24.0,94.0
Mapsx16,1254.0,24.19298245614035,2.7201618193986756,20.0,23.0,24.0,24.0,60.0
Mapsx17,1254.0,26.284688995215312,2.615163289985277,22.0,25.0,26.0,27.0,46.0
Mapsx18,1254.0,48.16028708133971,12.644591735479002,27.0,40.0,46.0,53.0,171.0
Mapsx19,1254.0,67.09808612440192,11.333053290831032,40.0,59.0,68.0,75.0,104.0
Mapsx20,1254.0,33.53429027113238,5.318433477210129,21.0,30.0,34.0,37.0,63.0
Mapsx21,1254.0,54.399521531100476,28.23782873802311,23.0,34.0,47.0,64.0,331.0
Mapsx22,1254.0,57.32695374800638,23.769442396283956,26.0,38.0,53.0,70.0,179.0
Mapsx23,1254.0,31.259170653907496,5.869746690197716,21.0,27.0,31.0,35.0,62.0
Mapsx24,1254.0,26.99840510366826,4.362101605323914,21.0,25.0,26.0,28.0,72.0
Mapsx25,1254.0,14.230462519936204,1.2854382217664146,12.0,14.0,14.0,15.0,33.0
Mapsx26,1254.0,3.2583732057416266,0.67817832687904,3.0,3.0,3.0,3.0,13.0
Mapsx27,1254.0,53.08532695374801,20.014437526693957,32.0,43.0,48.0,58.0,258.0
Mapsx28,1254.0,31.26634768740032,15.947215401698285,18.0,25.0,27.0,30.0,202.0
Mapsx29,1254.0,93.85167464114832,35.08187222150557,53.0,68.0,79.0,111.0,228.0
Mapsx30,1254.0,63.34848484848485,11.569378912834548,42.0,56.0,62.0,68.0,142.0
Mapsx31,1254.0,36.355661881977674,3.7029975132466535,27.0,34.0,36.0,38.0,63.0
Mapsx32,1254.0,42.46012759170654,11.170574244602568,31.0,38.0,40.0,44.0,191.0
Mapsx33,1254.0,15.403508771929825,13.731603075891817,9.0,11.0,12.0,13.0,142.0
Mapsx34,1254.0,101.01834130781499,59.52684263870424,44.0,67.0,81.0,106.0,427.0
