x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35
29199.71674 85 66 56 68 34 69 84 87 98 116 22 32 41 24 23 27 59 84 43 77 102 37 28 20 4 185 109 90 89 65 49 43 245 13 437 2044 88.82924183 61.44098451 110.013544 56.98753477 110.0089851 159.27557 91.41133341 132.4384928 178.3468921 10.0649405 30.94843968 47.84979892 57.11027035 70.91233979 62.12670864 77.01249279 105.9751808 83.22226724 162.0277478 122.3040043 35.60066563 36.51088311 22.49626264 6.882821373 170.5773117 144.2715627 138.0329637 109.1522419 59.25691179 97.70166152 101.9249633 311.1546006 20.14555559 347.0242103 3175.068133
31834.35613 71 47 56 66 32 61 68 65 72 68 21 36 41 23 25 26 59 77 36 95 72 35 29 15 4 57 41 80 85 40 42 16 209 8 150 1875 86.24590177 51.75292287 62.89154054 56.02002908 65.96028206 54.39060093 76.95188408 45.75179431 94.6068879 7.008187822 27.1106424 42.15806255 51.43309899 34.94030095 35.86194527 85.03901584 110.9057955 40.89839389 132.9084674 71.12840808 32.54102936 24.1248264 12.57030813 4.314901913 32.1017772 147.5443547 31.18920231 64.49831303 49.45196535 63.47144146 18.80293689 168.2047203 10.5746126 234.7798885 1982.005293
32793.59559 79 52 57 78 37 70 73 66 80 82 21 35 41 23 23 24 48 75 39 102 101 36 28 14 3 43 34 81 81 40 47 11 95 9 214 1841 84.0594993 69.85821531 129.8110063 33.72577261 95.05062606 58.72624177 66.22597917 42.67710582 181.5183375 4.740558425 21.07014384 48.90819881 29.26438814 38.82274947 53.5763596 67.85046933 44.46605521 41.21269011 230.7947078 52.14708752 20.77892132 29.70261311 19.04427849 5.826673284 75.71952869 79.64826543 31.16207826 104.5381004 54.68116463 89.38146173 25.0541169 87.02869965 11.08114966 152.7616928 2144.041176
34329.62329 72 52 60 82 34 70 66 54 69 73 18 32 42 23 23 27 46 73 38 55 52 35 40 15 4 73 40 134 67 40 41 14 163 9 255 1814 64.51143343 59.67401813 92.14169432 54.48831967 103.9817233 56.61566178 64.56425954 68.69275442 89.64999968 7.008187822 27.51361874 50.28493269 41.22604437 31.17770569 38.87850379 85.88412667 118.6019624 53.40030002 84.72454674 82.9913347 27.44670287 37.71161085 19.82407963 4.682160658 34.83409176 104.703837 49.71581739 107.9665488 55.92544097 45.4680759 20.3770627 139.587821 10.03166393 199.1161669 2059.921601
36684.56485 78 61 100 126 35 79 80 62 66 79 21 35 42 22 23 25 66 82 40 134 108 46 39 14 3 43 29 167 63 39 43 12 83 10 174 1872 98.028491 177.1729181 112.7977034 62.51997056 149.3468922 92.42364059 118.2107367 53.08908604 171.7693906 6.869763206 30.53372218 39.61029674 31.33062869 41.2666044 45.26101607 81.49982323 114.966336 55.72087308 134.7569681 45.56645723 28.89032622 34.78118393 16.83631169 5.151136941 35.32133263 113.430873 44.8991932 91.16877916 83.24002954 41.91718614 20.25989376 63.35335469 7.27210273 202.2615815 2339.986016
39012.15316 92 75 78 84 39 105 85 51 51 68 21 34 44 23 23 25 51 77 37 70 73 32 27 15 3 62 29 128 97 39 39 11 109 11 158 1846 86.46296833 52.81817056 92.15562819 48.03320356 166.0371576 54.26951742 62.91240708 68.73386388 52.35682852 8.33012166 26.04099107 38.75434245 29.56504847 26.15654126 27.7414527 59.65335653 93.21829656 53.50621941 156.5475994 47.18653557 21.53289279 28.79762028 18.61771485 5.696163909 43.33738124 118.4615268 45.98961552 53.30258505 36.93169153 33.28700513 30.42218022 132.5240788 39.81232555 230.2716457 1938.588788
40209.69202 86 67 69 87 40 117 93 69 66 83 20 35 43 23 23 25 42 72 37 78 58 28 51 14 3 44 27 80 70 38 47 10 86 8 174 1810 111.8459345 53.66095165 119.3943547 38.45440254 146.922688 113.143054 54.88684019 28.87802746 125.8449584 12.84245448 26.05160885 34.05023839 28.24999073 32.55571446 51.08281171 65.84876587 53.15939281 50.19980881 138.5359037 40.29827581 17.38151216 23.93787308 16.63892479 5.090745748 82.39616216 122.2167908 25.58105215 68.68831746 42.91487862 56.49401564 18.13263148 132.0843212 11.07261144 182.2228492 2025.514733
42890.03049 76 65 83 102 48 116 80 54 61 78 19 36 45 24 25 26 44 74 34 42 46 29 26 14 3 48 27 128 60 38 42 14 96 9 151 1812 89.77868096 70.36803137 86.70493984 73.77365562 214.0150375 93.15124238 38.73358027 42.67710519 146.9043078 10.0649405 30.11255355 39.15583896 52.34730395 40.20515308 59.11063857 77.67711086 97.59299245 60.30129294 165.9549834 59.24891985 55.65884113 73.82927227 38.3579744 11.73577609 87.31120604 54.30047745 52.78745131 78.13385627 48.13407997 52.6203763 16.57907548 144.9546094 8.83015038 232.2062384 2336.496663
43895.11922 83 75 83 104 54 151 83 53 60 77 20 34 44 27 23 26 57 73 40 40 61 30 25 13 3 49 37 108 57 36 42 13 88 7 166 1921 88.40017619 63.74064891 111.4574912 47.98300141 185.7256579 88.9224092 45.42610268 46.8948774 66.69541248 8.688412816 18.09394355 53.13487072 39.05828367 49.24524247 71.76831043 69.97462297 125.7266315 70.66631229 98.78121901 26.00667409 24.4308478 32.40656205 16.83681838 5.151292216 51.19156314 48.10179791 46.76149136 101.1786581 93.33473565 102.0339215 28.60067028 80.58866404 8.295980073 352.2590724 2113.52646
46156.7341 96 67 75 116 47 144 92 62 62 84 20 34 45 24 23 26 47 79 35 73 55 40 32 14 3 61 31 170 72 39 39 11 96 12 153 1836 85.24274009 73.90532799 141.4365317 142.7939166 531.5415106 60.18856473 76.66817007 62.8655053 132.9955841 10.14628813 23.77550157 44.35694672 44.04267564 41.61315376 29.28926228 51.05299205 143.9529867 57.40818917 125.4125433 27.96539536 30.14624252 50.95283668 28.79498689 7.467240351 60.24668149 161.266105 50.91361064 68.57313754 58.05549882 48.37393735 13.06819632 115.7842857 9.35559764 243.8328921 2719.386912
47406.24932 88 65 77 117 60 209 115 66 62 90 21 35 43 22 22 24 44 77 38 53 58 34 31 15 4 51 40 132 61 41 45 14 91 12 251 1879 104.2030105 64.44316471 113.9225119 106.7472427 272.0301649 130.6942072 85.67387334 62.86550467 71.48345418 4.886986921 21.72096509 59.29424122 32.34303268 58.82300937 41.1978642 96.33512737 97.59299245 53.50621941 113.7365216 61.13344242 23.48393204 26.57815937 13.3126541 4.073059908 39.75795801 206.6259915 54.37454665 84.59178808 80.60243572 64.44131713 18.68571891 112.0205388 8.103886968 210.3184698 2481.567662
