DiaSemana;Feriado;horaiox;Posx2;Mapsx2;MapsPessx2
2;0;411;98,71908082;61;85
2;0;430;50,65905559;61;96
2;0;449;111,7395135;64;99
2;0;466;95,63030382;61;105
2;0;483;74,07491568;67;107
2;0;495;67,08710343;79;122
2;0;513;117,6264654;72;119
2;0;525;126,894324;75;131
2;0;540;69,96075511;77;137
2;0;564;92,22547857;81;125
2;0;580;97,06535374;83;127
2;0;601;231,0598461;80;131
2;0;633;142,9830387;80;138
2;0;648;108,6932164;95;143
2;0;665;142,7518648;105;171
2;0;690;142,0318783;115;179
2;0;712;168,8120514;112;188
2;0;726;99,0515027;108;186
2;0;755;145,6519421;116;180
2;0;789;186,1626778;109;149
2;0;808;98,95344386;101;176
2;0;823;148,6902089;100;157
2;0;848;79,49745592;108;173
2;0;879;106,2606513;104;133
2;0;916;70,84121956;89;124
2;0;938;145,3280842;79;142
2;0;955;65,51432919;84;145
2;0;978;100,7654085;96;148
2;0;1005;89,5413721;83;146
2;0;1035;75,15980594;83;146
2;0;1064;68,08787941;83;140
2;0;1094;93,84307;84;155
2;0;1121;69,4533631;80;138
2;0;1154;130,4306343;76;126
2;0;1184;98,94147702;81;113
2;0;1219;105,7331483;80;110
2;0;1255;86,92707201;83;102
2;0;1288;95,34177126;83;120
2;0;1318;97,25057515;62;93
2;0;1353;77,31066558;63;90
2;0;1382;96,20771154;61;91
2;0;1414;54,79167814;64;83
1;0;275;94,94219651;52;52
1;0;301;101,3832933;50;53
1;0;326;76,70882565;51;55
1;0;345;79,23925223;58;61
1;0;361;85,73071898;58;71
1;0;389;85,15727611;59;72
1;0;415;85,17007465;57;78
1;0;439;72,18528916;64;71
1;0;465;94,56239382;58;83
1;0;485;62,66314331;69;85
1;0;511;81,83749553;74;98
1;0;535;53,66525219;66;103
1;0;562;111,7267986;67;114
1;0;588;110,1113734;67;120
1;0;679;113,5627855;96;132
1;0;682;87,5923225;100;159
1;0;710;67,94027283;95;170
1;0;770;73,75701922;92;161
1;0;819;75,07913348;79;128
1;0;865;83,37931917;67;106
1;0;912;97,13404365;70;108
1;0;928;69,30804604;64;108
1;0;945;89,73519963;62;110
1;0;1003;66,62425515;67;95
1;0;1017;79,71762295;64;112
1;0;1040;82,54102659;63;94
1;0;1085;82,4299976;68;98
1;0;1119;93,21162729;61;97
1;0;1134;95,65508806;96;90
1;0;1175;71,64425345;68;95
1;0;1205;117,6217098;61;95
1;0;1244;96,7838513;68;91
1;0;1280;54,34687883;70;94
1;0;1304;89,59702081;69;86
1;0;1333;49,86396208;69;79
1;0;1371;78,42562634;62;77
1;0;1395;102,5748705;61;66
1;0;1425;46,19553185;57;66
3;1;269;91,90834591;55;50
3;1;305;78,99116592;54;57
3;1;322;96,31432621;53;81
3;1;342;95,5581306;57;85
3;1;364;83,92530733;61;90
3;1;375;92,01771528;64;100
3;1;390;95,55813123;63;95
3;1;434;95,83466363;62;110
3;1;446;92,16897239;69;118
3;1;463;49,66776143;71;116
3;1;480;60,7863059;67;111
3;1;480;73,52579436;67;111
3;1;510;935,247565;69;108
3;1;525;86,38793165;73;116
3;1;541;98,09249185;91;123
3;1;559;45,66780261;86;121
3;1;581;73,60925926;79;119
3;1;600;136,6359008;88;114
3;1;625;108,1646454;95;132
3;1;641;87,69672937;81;135
3;1;665;131,2436203;79;132
3;1;684;96,47252038;84;134
3;1;711;164,8692985;85;121
3;1;725;72,72151702;99;122
3;1;750;94,97538696;88;110
3;1;768;138,2477615;119;135
3;1;792;303,9207791;89;144
3;1;811;108,8455761;100;116
3;1;835;79,97655147;86;120
3;1;858;98,69137905;86;117
3;1;876;80,40398955;95;129
3;1;897;95,65495353;88;124
3;1;922;107,1424434;91;153
3;1;942;107,7357363;86;126
3;1;958;97,27528081;74;156
3;1;984;110,0787777;80;139
3;1;1006;140,8672334;68;137
3;1;1024;85,54456404;69;134
3;1;1035;142,3942651;73;120
3;1;1058;100,4808753;72;134
3;1;1090;91,11505598;79;127
3;1;1103;60,29468528;82;111
3;1;1120;90,7934675;75;112
3;1;1142;99,05027873;72;119
3;1;1177;99,65963471;73;114
3;1;1200;91,82761498;75;105
3;1;1230;78,82981659;73;110
3;1;1260;95,54428034;65;96
3;1;1294;83,72969069;60;87
3;1;1319;71,13875805;63;75
3;1;1352;68,15014521;63;71
3;1;1383;100,94547;57;70
3;1;1415;58,58929886;56;65
4;1;295;93,31400993;53;56
4;1;320;95,94481315;51;60
4;1;344;63,4803179;53;73
4;1;365;91,63411623;58;76
4;1;390;69,61928895;67;93
4;1;414;95,74828874;73;112
4;1;440;65,45360922;67;112
4;1;465;66,47525928;62;130
4;1;484;94,19772886;60;114
4;1;515;52,29221347;61;109
4;1;537;95,39053696;74;111
4;1;560;82,98880064;72;111
4;1;591;75,73341478;72;109
4;1;631;72,05967943;85;118
4;1;660;56,27405543;76;120
4;1;686;82,15956618;83;124
4;1;716;275,070256;89;144
4;1;740;72,31574825;97;134
4;1;767;136,124356;98;150
4;1;791;95,9545986;88;162
4;1;822;138,9138248;95;146
4;1;841;100,8169748;91;136
4;1;875;66,71767146;85;133
4;1;900;97,47251999;75;140
4;1;916;116,7007111;68;104
4;1;953;113,2389477;69;116
4;1;981;76,7831394;71;134
4;1;998;54,61917354;74;157
4;1;1023;115,5552938;69;120
4;1;1061;63,43204568;75;122
4;1;1085;139,394751;68;129
4;1;1098;89,99657922;66;105
4;1;1153;52,08575022;68;103
4;1;1170;78,42562634;70;100
4;1;1216;112,1295278;62;102
4;1;1267;65,72977134;71;83
4;1;1277;95,02423061;62;83
4;1;1304;86,1615398;60;77
4;1;1346;37,68286365;56;76
4;1;1364;52,66037998;59;69
4;1;1398;56,06405418;55;69
4;1;1429;105,491202;56;59
5;0;269;86,2528753;49;58
5;0;300;66,83023497;52;57
5;0;315;73,45845352;132;136
5;0;330;94,94878782;60;64
5;0;344;85,04124752;58;82
5;0;360;89,95145713;71;85
5;0;375;139,8655849;65;109
5;0;390;89,04338269;67;105
5;0;406;119,3428022;73;108
5;0;418;60,65156702;64;112
5;0;431;83,22422169;66;112
5;0;434;69,42372133;71;112
5;0;455;96,38358064;67;115
5;0;466;141,8154731;69;115
5;0;501;95,55813123;68;113
5;0;530;98,95344386;70;111
5;0;549;90,0445566;81;122
5;0;570;48,1908879;78;133
5;0;594;118,4348723;72;116
5;0;608;52,61882669;77;142
5;0;631;224,4478214;107;132
5;0;650;92,81037468;102;130
5;0;672;111,712947;100;123
5;0;690;77,49901449;94;117
5;0;707;146,2045084;96;124
5;0;730;234,481822;87;124
5;0;749;133,5399321;82;115
5;0;771;125,8988538;77;127
5;0;789;90,82988854;73;138
5;0;811;89,72740571;97;120
5;0;826;127,5175774;79;110
5;0;847;258,215874;88;111
5;0;875;98,10661431;90;132
5;0;883;143,4697641;98;119
5;0;899;155,5388642;96;138
